target,predictor,n,spearman_rho,spearman_p,partial_rho__control_baseline_similarity,partial_p__control_baseline_similarity,partial_n__control_baseline_similarity,spearman_q_fdr_bh,partial_q_fdr_bh
t_cross_sim_lt_0_70,semantic_diversity,500,-0.27067722504933744,7.62233221825352e-10,-0.050251305005220015,0.26205397314397083,500,1.4482431214681689e-08,0.9033524100950647
t_cross_sim_lt_0_70,concrete_vs_abstract__imagined,500,0.1859185634924261,2.8719630546353467e-05,0.02646749786999148,0.5548867141626922,500,0.0002728364901903579,0.9033524100950647
t_cross_sim_lt_0_70,rich_vs_poor_details__imagined,500,0.1697544349822128,0.00013671323707716053,0.01407759231036924,0.75351175264819,500,0.0008658505014886834,0.9033524100950647
t_cross_sim_lt_0_70,mean_log10_wordfreq,500,-0.15295848705443682,0.0005993445122423803,-0.08286186744746979,0.06411273231212668,500,0.0028468864331513064,0.9033524100950647
t_cross_sim_lt_0_70,specific_vs_general__imagined,500,0.1299207932358688,0.003612093951046836,-0.027104844419377678,0.545393702536179,500,0.013725957013977977,0.9033524100950647
t_cross_sim_lt_0_70,type_token_ratio,500,-0.12264313584667089,0.006034645903329023,-0.010893739574958297,0.8080139557222693,500,0.019109712027208573,0.9033524100950647
t_cross_sim_lt_0_70,specific_vs_general__drift_consolidated_minus_original,500,0.10524703352749057,0.018570306178420797,0.011139116556466225,0.8037765703042101,500,0.05040511676999931,0.9033524100950647
t_cross_sim_lt_0_70,word_count,500,0.10159164873869136,0.023095376272692467,0.04898870795483182,0.2742464578774699,500,0.054851518647644606,0.9033524100950647
t_cross_sim_lt_0_70,concrete_vs_abstract__drift_consolidated_minus_original,500,0.09829252832717428,0.027969715812701728,0.058781803127212505,0.18943708743004636,500,0.05904717782681476,0.9033524100950647
t_cross_sim_lt_0_70,specific_vs_general__original,500,-0.08691696693993797,0.05209653892537732,-0.007649694598778395,0.8645172674537789,500,0.09898342395821691,0.9033524100950647
t_cross_sim_lt_0_70,concrete_vs_abstract__original,500,-0.07779246270943697,0.08225085385135575,-0.021033300133200532,0.6389312276263485,500,0.14206965665234175,0.9033524100950647
t_cross_sim_lt_0_70,rich_vs_poor_details__drift_consolidated_minus_original,500,0.06795252777498458,0.12916168239379333,0.006412921651686607,0.8862587074036132,500,0.20450599712350612,0.9033524100950647
t_cross_sim_lt_0_70,rich_vs_poor_details__original,500,-0.05871526167635653,0.1899394924345277,0.020897267589070356,0.6411020685018005,500,0.27760387355815586,0.9033524100950647
t_cross_sim_lt_0_70,concrete_vs_abstract__consolidated,500,0.03931741995919875,0.38032205578627354,0.005443989775959104,0.9033524100950647,500,0.5161513614242283,0.9033524100950647
t_cross_sim_lt_0_70,rich_vs_poor_details__consolidated,500,0.028927544518856,0.5186967293721279,-0.01663197052788211,0.7106397639058502,500,0.6324266902710469,0.9033524100950647
t_cross_sim_lt_0_70,specific_vs_general__consolidated,500,0.027974614932342903,0.5325698444387763,-0.03258329833319333,0.4672540264205226,500,0.6324266902710469,0.9033524100950647
t_cross_sim_lt_0_70,specific_vs_general__encoded,500,-0.02137974133811773,0.6334165797222062,0.03806520826083304,0.39569134061502487,500,0.7079361773365834,0.9033524100950647
t_cross_sim_lt_0_70,concrete_vs_abstract__encoded,500,-0.014993134231519425,0.7380503022318685,0.044026640106560426,0.3258643937408472,500,0.7790530968003057,0.9033524100950647
t_cross_sim_lt_0_70,rich_vs_poor_details__encoded,500,0.004338177952556585,0.9229151855899431,-0.03976623906495626,0.3749036319861556,500,0.9229151855899431,0.9033524100950647
