Layer index,PC1,PC2,Grid x,Grid y,Run index
0,0.19248063451662253,-0.033854791978688445,0,1,21
0,-0.21595433704097422,0.01334120491338039,0,2,21
0,0.1609306454258677,-0.22831349329742487,1,0,21
0,-0.19633464448210539,-0.09352171721788798,1,1,21
0,0.2333404107697435,0.14183233203681866,1,2,21
0,-0.13784454116610387,-0.09994955266322862,2,0,21
0,0.23918659897531228,0.10035591764652005,2,1,21
0,-0.2252623172948497,-0.18972790099379663,2,2,21
0,0.23883847219533086,-0.03921832557530726,0,0,22
0,-0.18487274171967638,0.07910424221622508,0,1,22
0,0.1974190866163074,0.06576302105402566,0,2,22
0,-0.22690836017071728,-0.05682941692207459,1,0,22
0,0.21965929690145305,-0.1872435601335795,1,1,22
0,-0.1382396383354319,-0.04156310275923728,1,2,22
0,0.21857363809358488,-0.016501625668247505,2,0,22
0,-0.23283474944479407,-0.16493911172736034,2,1,22
0,0.2263468085793864,-0.08059148562740963,2,2,22
0,0.22075311472916428,0.19828879402995245,0,0,23
0,-0.16432257345233595,0.07888431173670508,0,1,23
0,0.17487663505506465,0.16869203084806073,0,2,23
0,-0.1839224367968163,-0.002269629959370091,1,0,23
0,0.18255893447410712,0.16858261939272706,1,1,23
0,-0.16842568510672518,0.017242124227785146,1,2,23
0,0.24183780026199214,0.12655820199893272,2,0,23
0,-0.20219616669955187,-0.08131706322285005,2,1,23
0,0.2161911582206273,-0.14736087893507263,2,2,23
0,0.14753647390219202,-0.1577936307209913,0,0,24
0,-0.18167027155944243,0.22709633417731231,0,1,24
0,0.17565400594797076,-0.07696269737863927,0,2,24
0,-0.1880834364890297,0.05945616473561141,1,0,24
0,0.24189746442303411,0.15036118895034406,1,1,24
0,-0.22387067949536196,-0.14425265911083304,1,2,24
0,0.213816611574845,0.08665776799917492,2,0,24
0,-0.22154355958552005,0.07777197952540872,2,1,24
0,0.20422850291461656,-0.13352065314478548,2,2,24
0,-0.1528301823050045,0.15526064518373292,0,0,25
0,0.21179234596403276,-0.13767823126932233,0,1,25
0,-0.18674224304921513,-0.05021723049924583,0,2,25
0,0.22259648090532008,0.0623548580928362,1,0,25
0,-0.22806704139885925,-0.012282298023027426,1,1,25
0,0.23062401710235164,0.1411872845295097,1,2,25
0,-0.1792043193118408,-0.046361767943358514,2,0,25
0,0.20281953041616954,-0.16443309347517662,2,1,25
0,-0.22281801424660788,-0.02478258789344187,2,2,25
0,0.22586202663262825,0.1719200534239472,0,0,26
0,-0.1844068767544907,-0.046037322335446516,0,1,26
0,0.19152594173257828,0.07860116695596671,0,2,26
0,-0.19464627238159932,0.21616502370264484,1,0,26
0,0.21894277882911806,-0.12407951082018462,1,1,26
0,-0.20395899871989118,-0.11732563503860241,1,2,26
0,0.2364635984292732,0.018249525308429698,2,0,26
0,-0.23220447287047277,0.13414860540003115,2,1,26
0,0.23222718924559757,0.04790839192947747,2,2,26
0,-0.19951262106334733,0.073361231893998,0,0,27
0,0.22205074901629543,0.04586189145152803,0,1,27
0,-0.18344136946058592,0.11132579172531955,0,2,27
0,0.20266539923966342,-0.14983142784755402,1,0,27
0,-0.20314398782388873,0.08978939721438015,1,1,27
0,0.22316643032172592,-0.14773414071215293,1,2,27
0,-0.22766014319433636,-0.1268698022051868,2,0,27
0,0.18904528380535435,-0.005603693519197704,2,1,27
0,-0.19970717628077167,-0.006287177697198781,2,2,27
0,-0.17816119188674348,0.18140675367961714,0,0,28
0,0.21016032425317938,-0.17194552230117183,0,1,28
0,-0.24520302497652607,-0.002713274114721668,0,2,28
0,0.2200435000009572,-0.0008271624599641903,1,0,28
0,-0.2019206675069735,0.13560388071276883,1,1,28
0,0.22790652056083444,0.10372176062121961,1,2,28
0,-0.18579835649730037,0.1873840250617453,2,0,28
0,0.2194443769158245,-0.15207992322705105,2,1,28
0,-0.2011093388950166,0.0061958617481066595,2,2,28
0,0.2349624856672955,-0.021951862059750644,0,0,29
0,-0.22624929550983036,-0.15064784133209055,0,1,29
0,0.205260325529404,-0.08753316134521262,0,2,29
