PC1,PC2,series,Point type
-0.008424270898103714,-0.12436825037002563,Health,Background
0.03515388444066048,-0.09510093182325363,Health,Background
0.04642459750175476,-0.08658204972743988,Health,Background
0.009854979813098907,-0.10075405240058899,Health,Background
0.09970428049564362,-0.09582632780075073,Health,Background
-0.17856179177761078,0.060034848749637604,Health,Background
0.07424041628837585,-0.20975372195243835,Health,Background
-0.16467823088169098,0.0034064874053001404,Health,Background
-0.13697008788585663,-0.20982655882835388,Health,Background
-0.22882120311260223,0.08287843316793442,Health,Background
0.10989736020565033,-0.03423560410737991,Health,Background
-0.013745397329330444,-0.14486563205718994,Health,Background
-0.09353533387184143,-0.16964536905288696,Health,Background
-0.31432241201400757,0.20771688222885132,Health,Background
0.029283389449119568,-0.4278065264225006,Health,Background
-0.15669949352741241,-0.17969852685928345,Health,Background
-0.01989104598760605,0.08687268942594528,Health,Background
-0.1377050280570984,0.010143987834453583,Health,Background
-0.04015757516026497,-0.17004044353961945,Health,Background
-0.0036796778440475464,-0.2202034592628479,Health,Background
0.10076524317264557,-0.04661661386489868,Health,Background
0.01262686401605606,-0.016169507056474686,Health,Background
0.11449451744556427,-0.18339833617210388,Health,Background
-0.13753555715084076,-0.17463800311088562,Health,Background
-0.15845443308353424,-0.2252044677734375,Health,Background
-0.10318179428577423,-0.06160544604063034,Health,Background
-0.15091951191425323,0.04332567751407623,Health,Background
-0.23884175717830658,-0.05647829920053482,Health,Background
-0.1416829526424408,-0.2223123013973236,Health,Background
0.010350391268730164,0.010631009936332703,Health,Background
0.011492779478430748,-0.12078368663787842,Health,Background
-0.04125162586569786,-0.0919034332036972,Health,Background
-0.027653943747282028,0.15708348155021667,Health,Background
-0.09930844604969025,-0.07066549360752106,Health,Background
-0.05549083277583122,-0.16557028889656067,Health,Background
-0.09846989810466766,0.0730433389544487,Health,Background
-0.012534905225038528,-0.08182213455438614,Health,Background
-0.20441071689128876,0.03695765882730484,Health,Background
0.07658401131629944,-0.0471402145922184,Health,Background
-0.15041153132915497,-0.08471746742725372,Health,Background
-0.0759870857000351,-0.19158712029457092,Health,Background
-0.029318418353796005,-0.1976727545261383,Health,Background
0.061627097427845,0.011245600879192352,Health,Background
