Model,Grid distance,Representation distance
GPT-2,1,58.9410285949707
GPT-2,1,106.09708404541016
GPT-2,1,99.44571685791016
GPT-2,1,62.44503402709961
GPT-2,1,43.335601806640625
GPT-2,1,63.07990264892578
GPT-2,1,55.20219802856445
GPT-2,1,66.76228332519531
GPT-2,1,43.65285110473633
GPT-2,1,51.434417724609375
GPT-2,1,30.251317977905273
GPT-2,1,259.8872985839844
GPT-2,1,51.79454803466797
GPT-2,1,260.5870361328125
GPT-2,1,47.59622573852539
GPT-2,1,250.8617706298828
GPT-2,1,249.9556427001953
GPT-2,1,53.50394821166992
GPT-2,1,48.184444427490234
GPT-2,1,44.125858306884766
GPT-2,1,58.56669616699219
GPT-2,1,48.83012771606445
GPT-2,1,74.1620101928711
GPT-2,1,54.9351806640625
GPT-2,1,73.96401977539062
GPT-2,1,45.18796920776367
GPT-2,1,42.18661880493164
GPT-2,1,56.59572219848633
GPT-2,1,50.86106872558594
GPT-2,1,669.0439453125
GPT-2,1,51.136863708496094
GPT-2,1,663.9314575195312
GPT-2,1,191.12582397460938
GPT-2,1,62.935855865478516
GPT-2,1,176.9661865234375
GPT-2,1,190.02415466308594
GPT-2,1,54.00248718261719
GPT-2,1,61.375186920166016
GPT-2,1,44.75318145751953
GPT-2,1,50.19246292114258
GPT-2,1,43.246604919433594
GPT-2,1,55.24436950683594
GPT-2,1,70.9687728881836
GPT-2,1,69.64868927001953
GPT-2,1,63.57122802734375
GPT-2,1,58.11091613769531
GPT-2,1,53.88450622558594
GPT-2,1,53.0030632019043
GPT-2,1,249.13929748535156
GPT-2,1,48.148929595947266
GPT-2,1,44.69484329223633
GPT-2,1,51.54553985595703
GPT-2,1,258.83770751953125
GPT-2,1,50.401493072509766
GPT-2,1,52.06078338623047
GPT-2,1,33.84221649169922
GPT-2,1,62.697662353515625
GPT-2,1,189.55145263671875
GPT-2,1,65.63458251953125
GPT-2,1,191.583740234375
GPT-2,1,58.41206359863281
GPT-2,1,178.26292419433594
GPT-2,1,186.30406188964844
GPT-2,1,57.25437545776367
GPT-2,1,61.01069641113281
GPT-2,1,52.0924186706543
GPT-2,1,53.61711502075195
GPT-2,1,51.02095031738281
GPT-2,1,397.8235778808594
GPT-2,1,47.37352752685547
GPT-2,1,389.8901062011719
GPT-2,1,49.09214782714844
GPT-2,1,44.25273132324219
GPT-2,1,42.91631317138672
GPT-2,1,50.08230209350586
GPT-2,1,51.16268539428711
GPT-2,1,50.187625885009766
GPT-2,1,47.4012565612793
GPT-2,1,53.9763298034668
GPT-2,1,272.0344543457031
GPT-2,1,56.63259506225586
GPT-2,1,41.57992935180664
GPT-2,1,54.9635009765625
GPT-2,1,293.60675048828125
GPT-2,1,292.7054443359375
GPT-2,1,50.10995864868164
GPT-2,1,43.0290641784668
GPT-2,1,45.920616149902344
GPT-2,1,45.755558013916016
GPT-2,1,51.480491638183594
GPT-2,1,54.16482925415039
GPT-2,1,49.78763961791992
GPT-2,1,45.54410171508789
GPT-2,1,40.12702178955078
GPT-2,1,44.516868591308594
GPT-2,1,48.68511199951172
GPT-2,1,499.5570373535156
GPT-2,1,44.64156723022461
GPT-2,1,50.429744720458984
GPT-2,1,45.63539123535156
GPT-2,1,496.3116760253906
GPT-2,1,48.31553268432617
GPT-2,1,48.72114562988281
GPT-2,1,499.2602233886719
GPT-2,1,45.6129264831543
GPT-2,1,41.09309005737305
GPT-2,1,53.41599655151367
GPT-2,1,514.3740234375
GPT-2,1,54.76118087768555
GPT-2,1,50.25227355957031
GPT-2,1,44.453819274902344
GPT-2,1,62.090171813964844
GPT-2,1,51.45765686035156
GPT-2,1,50.38857650756836
GPT-2,1,58.3916015625
GPT-2,1,48.028961181640625
GPT-2,1,164.05979919433594
GPT-2,1,53.82180404663086
GPT-2,1,50.90431594848633
GPT-2,1,156.407470703125
GPT-2,1,46.6336669921875
GPT-2,1,143.71502685546875
GPT-2,1,48.676578521728516
GPT-2,1,60.13373947143555
GPT-2,1,47.3347053527832
GPT-2,1,42.45134353637695
GPT-2,1,67.8283462524414
GPT-2,1,173.84683227539062
GPT-2,1,65.36930847167969
GPT-2,1,180.3109130859375
GPT-2,1,55.99892807006836
GPT-2,1,173.75291442871094
GPT-2,1,162.28981018066406
GPT-2,1,51.774871826171875
GPT-2,1,62.7552604675293
GPT-2,1,58.973915100097656
GPT-2,1,51.0010871887207
GPT-2,1,51.117698669433594
GPT-2,1,290.2603759765625
GPT-2,1,53.76886749267578
GPT-2,1,285.1835021972656
GPT-2,1,45.684539794921875
GPT-2,1,52.23994445800781
GPT-2,1,62.96909713745117
GPT-2,1,48.204681396484375
GPT-2,1,51.144615173339844
GPT-2,1,57.15822219848633
GPT-2,1,54.58565139770508
GPT-2,1,665.1390380859375
GPT-2,1,657.6453247070312
GPT-2,1,51.9786376953125
GPT-2,1,49.33210754394531
GPT-2,1,53.14727783203125
GPT-2,1,53.60506057739258
GPT-2,1,56.475894927978516
GPT-2,1,48.77798080444336
GPT-2,1,51.29512023925781
GPT-2,1,55.275508880615234
GPT-2,1,40.76381301879883
GPT-2,1,43.28467559814453
GPT-2,1,341.8513488769531
GPT-2,1,53.972496032714844
GPT-2,1,329.796875
GPT-2,1,333.42913818359375
GPT-2,1,54.2932243347168
GPT-2,1,54.863983154296875
GPT-2,1,47.47477722167969
GPT-2,1,49.76845932006836
GPT-2,1,45.690250396728516
GPT-2,1,29.23325538635254
GPT-2,1,43.433372497558594
GPT-2,1,47.96709442138672
GPT-2,1,47.440399169921875
GPT-2,1,44.318336486816406
GPT-2,1,56.17047882080078
GPT-2,1,49.60161590576172
GPT-2,1,50.154197692871094
GPT-2,1,44.0139274597168
GPT-2,1,56.91511154174805
GPT-2,1,49.50190734863281
GPT-2,1,58.53544616699219
GPT-2,1,411.79656982421875
GPT-2,1,62.8250846862793
GPT-2,1,395.5401916503906
GPT-2,1,45.44001770019531
GPT-2,1,46.25849151611328
GPT-2,1,54.19261169433594
GPT-2,1,62.276615142822266
GPT-2,1,994.09228515625
GPT-2,1,63.92994689941406
GPT-2,1,51.196876525878906
GPT-2,1,986.8471069335938
GPT-2,1,64.41155242919922
GPT-2,1,1002.0648803710938
