Model,Grid distance,Representation distance
Our model,1,105.71100616455078
Our model,1,95.39944458007812
Our model,1,192.65460205078125
Our model,1,126.02259826660156
Our model,1,190.33187866210938
Our model,1,133.1748504638672
Our model,1,136.4227752685547
Our model,1,164.9734344482422
Our model,1,135.81166076660156
Our model,1,144.7269287109375
Our model,1,133.10362243652344
Our model,1,106.70391082763672
Our model,1,156.9768524169922
Our model,1,233.88182067871094
Our model,1,103.82444763183594
Our model,1,267.7538757324219
Our model,1,314.12286376953125
Our model,1,153.94259643554688
Our model,1,145.1476593017578
Our model,1,161.02597045898438
Our model,1,160.92349243164062
Our model,1,129.49853515625
Our model,1,124.36111450195312
Our model,1,102.33409881591797
Our model,1,136.35931396484375
Our model,1,98.94513702392578
Our model,1,142.0410614013672
Our model,1,133.9756317138672
Our model,1,156.96250915527344
Our model,1,205.58102416992188
Our model,1,178.00047302246094
Our model,1,124.7603530883789
Our model,1,129.5966339111328
Our model,1,139.69497680664062
Our model,1,175.41748046875
Our model,1,179.0006561279297
Our model,1,139.33370971679688
Our model,1,101.98099517822266
Our model,1,117.69263458251953
Our model,1,104.15027618408203
Our model,1,119.96236419677734
Our model,1,203.66668701171875
Our model,1,149.40565490722656
Our model,1,128.28790283203125
Our model,1,123.08006286621094
Our model,1,183.98573303222656
Our model,1,121.25740051269531
Our model,1,94.59317016601562
Our model,1,118.46868896484375
Our model,1,90.3458480834961
Our model,1,97.75211334228516
Our model,1,125.77958679199219
Our model,1,136.95472717285156
Our model,1,129.64996337890625
Our model,1,133.95770263671875
Our model,1,127.50861358642578
Our model,1,123.37093353271484
Our model,1,154.07518005371094
Our model,1,137.70431518554688
Our model,1,93.30329132080078
Our model,1,138.8027801513672
Our model,1,212.56863403320312
Our model,1,210.48092651367188
Our model,1,190.24609375
Our model,1,155.23333740234375
Our model,1,125.36537170410156
Our model,1,131.49095153808594
Our model,1,141.05581665039062
Our model,1,232.38059997558594
Our model,1,244.015869140625
Our model,1,227.74676513671875
Our model,1,104.63275909423828
Our model,1,218.67820739746094
Our model,1,227.5643310546875
Our model,1,267.6551818847656
Our model,1,139.25823974609375
Our model,1,134.73428344726562
Our model,1,144.9161834716797
Our model,1,132.95535278320312
Our model,1,136.2828826904297
Our model,1,129.2494354248047
Our model,1,159.66830444335938
Our model,1,129.2135009765625
Our model,1,134.13406372070312
Our model,1,155.06715393066406
Our model,1,97.33206176757812
Our model,1,150.16342163085938
Our model,1,136.45263671875
Our model,1,107.35645294189453
Our model,1,139.93458557128906
Our model,1,143.72264099121094
Our model,1,133.6591339111328
Our model,1,175.92324829101562
Our model,1,150.60089111328125
Our model,1,138.8933868408203
Our model,1,128.37559509277344
Our model,1,190.5307159423828
Our model,1,139.406982421875
Our model,1,126.58873748779297
Our model,1,159.0128631591797
Our model,1,149.1632843017578
Our model,1,148.91024780273438
Our model,1,130.3588104248047
Our model,1,155.13955688476562
Our model,1,151.675048828125
Our model,1,160.56153869628906
Our model,1,120.4045639038086
Our model,1,121.02092742919922
Our model,1,124.52713775634766
Our model,1,109.97618103027344
Our model,1,105.48406219482422
Our model,1,132.3520050048828
Our model,1,141.77024841308594
Our model,1,131.0113525390625
Our model,1,184.89291381835938
Our model,1,126.68565368652344
Our model,1,127.83961486816406
Our model,1,136.0717315673828
Our model,1,214.09481811523438
Our model,1,186.73306274414062
Our model,1,136.2235565185547
Our model,1,127.97311401367188
Our model,1,160.26345825195312
Our model,1,164.0986328125
Our model,1,147.88160705566406
Our model,1,142.5516815185547
Our model,1,129.50772094726562
Our model,1,126.54338073730469
Our model,1,180.22340393066406
Our model,1,128.682861328125
Our model,1,136.8727569580078
Our model,1,91.9183578491211
Our model,1,187.7986602783203
Our model,1,164.4291534423828
Our model,1,107.92337036132812
Our model,1,147.06590270996094
Our model,1,224.04612731933594
Our model,1,147.8379669189453
Our model,1,130.6775360107422
Our model,1,134.07521057128906
Our model,1,124.01063537597656
Our model,1,182.8792266845703
Our model,1,134.9263458251953
Our model,1,104.697509765625
Our model,1,137.182373046875
Our model,1,113.76737976074219
Our model,1,101.79011535644531
Our model,1,120.62049102783203
Our model,1,130.08839416503906
Our model,1,139.09361267089844
Our model,1,139.1915283203125
Our model,1,125.8613052368164
Our model,1,150.9699249267578
Our model,1,124.66986846923828
Our model,1,156.97267150878906
Our model,1,122.97359466552734
Our model,1,125.49565124511719
Our model,1,124.75511932373047
Our model,1,128.60678100585938
Our model,1,164.54833984375
Our model,1,214.51072692871094
Our model,1,162.0830078125
Our model,1,120.93235778808594
Our model,1,154.21742248535156
Our model,1,150.91543579101562
Our model,1,144.15545654296875
Our model,1,119.56180572509766
Our model,1,99.2077865600586
Our model,1,150.1823272705078
Our model,1,105.93645477294922
Our model,1,97.90000915527344
Our model,1,140.3518524169922
Our model,1,139.1593780517578
Our model,1,140.8672332763672
Our model,1,130.43312072753906
Our model,1,133.08604431152344
Our model,1,171.5720977783203
Our model,1,174.93807983398438
Our model,1,150.1728057861328
Our model,1,94.04609680175781
Our model,1,131.85035705566406
Our model,1,105.33787536621094
Our model,1,156.99679565429688
Our model,1,125.02110290527344
Our model,1,114.4985122680664
Our model,1,133.75714111328125
Our model,1,127.52945709228516
Our model,1,146.563232421875
Our model,1,151.55128479003906
Our model,1,134.56703186035156
Our model,1,118.09208679199219
Our model,1,755.4119262695312
Our model,1,120.96644592285156
Our model,1,118.84101104736328
Our model,1,95.9131088256836
Our model,1,696.5950317382812
Our model,1,162.2352294921875
Our model,1,124.3949203491211
Our model,1,144.5340576171875
Our model,1,178.92831420898438
Our model,1,107.4117431640625
Our model,1,155.5394744873047
Our model,1,117.36952209472656
Our model,1,96.21155548095703
Our model,1,134.52210998535156
Our model,1,92.57633209228516
Our model,1,109.31896209716797
Our model,1,120.51396942138672
Our model,1,181.82681274414062
Our model,1,139.0989227294922
Our model,1,130.26588439941406
Our model,1,159.7976837158203
Our model,1,130.84715270996094
Our model,1,104.5707015991211
Our model,1,133.394287109375
Our model,1,94.14273834228516
Our model,1,141.6372528076172
Our model,1,132.10418701171875
Our model,1,124.55073547363281
Our model,1,122.94054412841797
Our model,1,123.30110931396484
Our model,1,121.49563598632812
Our model,1,113.72419738769531
Our model,1,97.30538177490234
Our model,1,126.70391845703125
Our model,1,105.1836166381836
Our model,1,163.41163635253906
Our model,1,98.55420684814453
Our model,1,134.00392150878906
Our model,1,122.7855453491211
Our model,1,159.1005096435547
Our model,1,134.2429962158203
Our model,1,124.98977661132812
Our model,1,150.34849548339844
Our model,1,121.17932891845703
Our model,1,129.75616455078125
Our model,1,122.72811126708984
Our model,1,96.55744171142578
Our model,1,159.44496154785156
Our model,1,168.5893096923828
Our model,1,174.66448974609375
Our model,1,152.77279663085938
Our model,1,170.04910278320312
Our model,1,144.044677734375
Our model,1,136.2716827392578
Our model,1,134.07205200195312
Our model,1,152.06707763671875
Our model,1,131.8838348388672
Our model,1,120.07048797607422
Our model,1,165.58387756347656
Our model,1,138.69784545898438
Our model,1,158.75328063964844
Our model,1,108.24744415283203
Our model,1,155.4744873046875
Our model,1,193.93502807617188
Our model,1,136.8794708251953
Our model,1,133.240478515625
Our model,1,153.85546875
Our model,1,122.27903747558594
Our model,1,98.22650146484375
Our model,1,118.76821899414062
Our model,1,120.82449340820312
Our model,1,97.77571105957031
Our model,1,113.02286529541016
Our model,1,153.95802307128906
Our model,1,349.69244384765625
Our model,1,117.13909912109375
Our model,1,368.14910888671875
Our model,1,116.70368194580078
Our model,1,104.0421142578125
Our model,1,174.3004150390625
Our model,1,105.09403228759766
Our model,1,175.697509765625
