PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (0, 0)",0.06917722217700496,-0.09986879908377948,0,0,
Combined,Our model,"grid position (0, 1)",0.2720982200221676,-0.16743097410935634,0,1,
Combined,Our model,"grid position (0, 2)",-0.0051897269944307855,0.41981387384862023,0,2,
Combined,Our model,"grid position (1, 0)",-0.08459191248404695,-0.18865002383875182,1,0,
Combined,Our model,"grid position (1, 1)",-0.09446261469078938,-0.030082875298066337,1,1,
Combined,Our model,"grid position (1, 2)",-0.31768629098727463,0.20655383098836474,1,2,
Combined,Our model,"grid position (2, 0)",-0.15945002274578912,-0.19262459701015563,2,0,
Combined,Our model,"grid position (2, 1)",-0.17051253080682138,-0.06656619985716382,2,1,
Combined,Our model,"grid position (2, 2)",-0.42923730502980206,0.14117967776307966,2,2,
Combined,Our model,"grid position (0, 0)",0.20743289664829861,-0.005165223528027769,0,0,
Combined,Our model,"grid position (0, 1)",0.27728448316424154,0.0859559943012123,0,1,
Combined,Our model,"grid position (0, 2)",0.061971086756484675,0.38594831952671316,0,2,
Combined,Our model,"grid position (1, 0)",0.017283931517570537,-0.19877686813120113,1,0,
Combined,Our model,"grid position (1, 1)",0.05301333597621752,-0.0426835493499023,1,1,
Combined,Our model,"grid position (1, 2)",-0.07516780986150846,0.051047285275746326,1,2,
Combined,Our model,"grid position (2, 0)",-0.08813419233586106,-0.2620577057336386,2,0,
Combined,Our model,"grid position (2, 1)",-0.060385259083920555,-0.1480594751155957,2,1,
Combined,Our model,"grid position (2, 2)",-0.20380942368000063,0.020974432931891735,2,2,
Combined,Our model,"grid position (0, 0)",0.21358218872270276,0.03393973669810311,0,0,
Combined,Our model,"grid position (0, 1)",0.22965878597380568,0.18761395637103667,0,1,
Combined,Our model,"grid position (0, 2)",0.015560427701198445,0.39771895012534536,0,2,
Combined,Our model,"grid position (1, 0)",0.038164577556785255,-0.10942753692844864,1,0,
Combined,Our model,"grid position (1, 1)",0.08023357696356447,-0.07090422216949549,1,1,
Combined,Our model,"grid position (1, 2)",-0.20691691257010547,0.20570512553735704,1,2,
Combined,Our model,"grid position (2, 0)",-0.10791218541961738,-0.24313973003271086,2,0,
Combined,Our model,"grid position (2, 1)",-0.08980422889200124,-0.053292130336654406,2,1,
Combined,Our model,"grid position (2, 2)",-0.35449695187052355,0.14549548044256064,2,2,
Combined,Our model,"grid position (0, 0)",0.26741854781348756,-0.03102410949923809,0,0,
Combined,Our model,"grid position (0, 1)",0.24893340011904672,0.16849446462513581,0,1,
Combined,Our model,"grid position (0, 2)",0.03744132661432743,0.2851603176529143,0,2,
