PCA plot,Model,series,PC1,PC2,Generation,Node name
Combined,Our model,Grandparent,0.060159047114830735,0.08012212597754646,0,
Combined,Our model,Grandparent,0.010121209803443876,0.20480120800249582,0,
Combined,Our model,Parent,-0.1372202359143446,0.03140543222615819,1,
Combined,Our model,Parent,-0.021764272953359295,-0.1324460059286928,1,
Combined,Our model,Grandparent,-0.04394588526165545,0.21022942866226219,0,
Combined,Our model,Grandparent,0.24051300452441648,0.03586462963367762,0,
Combined,Our model,Parent,-0.08225507795130498,-0.03596458882840723,1,
Combined,Our model,Parent,-0.15434768046362027,0.01649667436357086,1,
Combined,Our model,Child,-0.22441130627989656,-0.004097020616065442,2,
Combined,Our model,Child,-0.09206783793454777,-0.18034961711027395,2,
Combined,Our model,Grandparent,0.3423327520896246,-0.02474611953964419,0,
Combined,Our model,Grandparent,0.20108544554221447,0.008262668067327596,0,
Combined,Our model,Parent,-0.19477455521388562,0.08817964143859996,1,
Combined,Our model,Parent,-0.12435842715593548,-0.017466363709893407,1,
Combined,Our model,Grandparent,-0.18749885307423617,0.3553974323989952,0,
Combined,Our model,Grandparent,0.1849507047266181,0.13999910807667662,0,
Combined,Our model,Parent,-0.04365144714085956,-0.05440070648010129,1,
Combined,Our model,Parent,-0.370906470072834,0.3197071020651381,1,
Combined,Our model,Child,-0.12530202362172352,-0.12765197659078314,2,
Combined,Our model,Child,-0.1317847415688514,-0.12350082202163211,2,
Combined,Our model,Grandparent,0.1711027695869819,0.033278972979774064,0,
Combined,Our model,Grandparent,0.2680635307475421,0.024722082881716925,0,
Combined,Our model,Parent,-0.047064247564473416,-0.111106545805309,1,
Combined,Our model,Parent,0.06560082872838872,-0.2163158502901572,1,
Combined,Our model,Grandparent,0.12009048460804227,0.10113046584383016,0,
Combined,Our model,Grandparent,0.08481175405060605,0.13322730491283868,0,
Combined,Our model,Parent,-0.05342078683980227,-0.06761931875525223,1,
Combined,Our model,Parent,-0.060420062722161015,-0.1012994101486949,1,
Combined,Our model,Child,-0.27041211629047096,0.06652713093247527,2,
Combined,Our model,Child,-0.16106755266515502,-0.07789228639066531,2,
Combined,Our model,Grandparent,0.37086294034097594,-0.035081455752230775,0,
Combined,Our model,Grandparent,0.24705035280402743,0.030692072873235277,0,
Combined,Our model,Parent,-0.006934744976673916,-0.09028174253052824,1,
Combined,Our model,Parent,-0.04692937331692495,-0.1188271825976172,1,
Combined,Our model,Grandparent,0.20823963084545866,0.039287298239450895,0,
Combined,Our model,Grandparent,0.10901595547444418,0.06912375695879049,0,
Combined,Our model,Parent,-0.23624688365371357,0.11494238250669195,1,
Combined,Our model,Parent,-0.3751029598396587,0.30991821585340484,1,
Combined,Our model,Child,-0.0949018302874243,-0.19933515357430176,2,
Combined,Our model,Child,-0.1149845004296345,-0.1533765606582729,2,
Combined,Our model,Grandparent,0.22809689040200845,0.0010965945060500016,0,
Combined,Our model,Grandparent,0.3151612660489081,0.011807391360701473,0,
Combined,Our model,Parent,-0.016629932389525332,-0.11811542255381119,1,
